day,month_cos,month_sin,tod_id,start_station_id,end_station_id,direction_id,hour,min,link_load,output
01/01/2019,0.8660254037844387,0.4999999999999999,0,2,3,0,14,45,,9614.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,2,3,0,15,0,,10868.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,2,3,0,15,15,,12122.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,2,3,0,15,30,,12958.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,2,3,0,15,45,,14003.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,2,3,0,16,0,,14630.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,2,3,0,16,15,,15675.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,2,3,0,16,30,,16720.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,2,3,0,16,45,,19855.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,2,3,0,17,0,,19019.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,2,3,0,17,15,,20482.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,2,3,0,17,30,,20273.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,2,3,0,17,45,,17765.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,2,3,0,18,0,,14630.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,2,3,0,18,15,,12749.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,2,3,0,18,30,,12540.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,2,3,0,18,45,,10032.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,2,3,0,19,0,,9823.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,2,3,0,19,15,,8151.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,2,3,0,19,30,,7733.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,2,3,0,19,45,,4807.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,2,3,0,20,0,,4598.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,2,3,0,20,15,,3971.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,2,3,0,20,30,,3971.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,2,3,0,20,45,,3135.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,2,3,0,21,0,,3135.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,2,3,0,21,15,,3135.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,2,3,0,21,30,,3344.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,2,3,0,21,45,,2717.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,2,3,0,22,0,,2926.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,2,3,0,22,15,,2508.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,2,3,0,22,30,,2508.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,2,3,0,22,45,,2090.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,2,3,0,23,0,,2299.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,2,3,0,23,15,,1672.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,2,3,0,23,30,,1463.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,2,3,0,23,45,,836.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,3,4,0,0,0,,627.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,3,4,0,0,15,,418.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,3,4,0,0,30,,209.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,3,4,0,0,45,,0.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,3,4,0,1,0,,0.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,3,4,0,1,15,,0.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,3,4,0,1,30,,0.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,3,4,0,1,45,,0.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,3,4,0,2,0,,0.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,3,4,0,2,15,,0.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,3,4,0,2,30,,0.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,3,4,0,2,45,,0.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,3,4,0,3,0,,0.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,3,4,0,3,15,,0.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,3,4,0,3,30,,0.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,3,4,0,3,45,,0.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,3,4,0,4,0,,0.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,3,4,0,4,15,,0.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,3,4,0,4,30,,0.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,3,4,0,4,45,,0.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,3,4,0,5,0,,12122.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,3,4,0,5,15,,19646.0
01/01/2019,0.8660254037844387,0.4999999999999999,0,3,4,0,5,30,,26334.0
